vote_id,vote_date,vote_category,bill_id,impact_tag,reason_code,sponsor_party,source_url,notes
h-119-2-26,2026-01-14,AMENDMENT,hr-7006-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2026/roll026.xml,
h-119-2-27,2026-01-14,AMENDMENT,hr-7006-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2026/roll027.xml,
h-119-2-28,2026-01-14,PASSAGE,hr-7006-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2026/roll028.xml,
s-119-2-9,2026-01-14,PROCEDURAL,sjres-98-119,,PROCEDURAL_CATEGORY,Democrat,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1192/vote_119_2_00009.xml,
h-119-2-29,2026-01-15,AMENDMENT,hr-2988-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2026/roll029.xml,
h-119-2-30,2026-01-15,MOTION_TO_RECOMMIT,hr-2988-119,WORKFORCE,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll030.xml,
h-119-2-31,2026-01-15,PASSAGE,hr-2988-119,WORKFORCE,UNADJUDICATED_DIRECTION,,https://clerk.house.gov/evs/2026/roll031.xml,
s-119-2-10,2026-01-15,CLOTURE,hr-6938-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1192/vote_119_2_00010.xml,
s-119-2-11,2026-01-15,PASSAGE,hr-6938-119,,NO_IMPACT_TAG,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1192/vote_119_2_00011.xml,
h-119-2-32,2026-01-20,SUSPENSION,hr-5763-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll032.xml,
h-119-2-33,2026-01-20,SUSPENSION,hr-5764-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll033.xml,
h-119-2-34,2026-01-21,PROCEDURAL,hres-1009-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll034.xml,
h-119-2-35,2026-01-21,PASSAGE,hres-1009-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2026/roll035.xml,
h-119-2-36,2026-01-21,MOTION_TO_RECOMMIT,hr-6945-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll036.xml,
h-119-2-37,2026-01-21,PASSAGE,hr-6945-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2026/roll037.xml,
h-119-2-38,2026-01-21,PASSAGE,hjres-140-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2026/roll038.xml,
h-119-2-39,2026-01-22,PROCEDURAL,hres-1014-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll039.xml,
h-119-2-40,2026-01-22,AMENDMENT,hres-1014-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2026/roll040.xml,
