member_bioguide_id,member_name,district,party,congress,chamber,rollcall_id,rollcall_date,bill_id,theme,axis_direction,vote_cast,contested,adjudication_note,adjudicator,adjudication_date,source_url,plain_language_summary,coded_blind,congress_era
B001292,"Donald S. Beyer, Jr.",8,Democrat,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
C001118,Ben Cline,6,Republican,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
G000568,H. Morgan Griffith,9,Republican,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
K000399,Jennifer A. Kiggans,2,Republican,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
M001227,Jennifer L. McClellan,4,Democrat,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
M001239,John J. McGuire III,5,Republican,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
S000185,"Robert C. ""Bobby"" Scott",3,Democrat,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
S001230,Suhas Subramanyam,10,Democrat,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
V000138,Eugene Simon Vindman,7,Democrat,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
W000804,Robert J. Wittman,1,Republican,119,House,h-119-1-151,2025-06-04,hr-2483-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll151.xml,,false,
B001292,"Donald S. Beyer, Jr.",8,Democrat,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
C001118,Ben Cline,6,Republican,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
G000568,H. Morgan Griffith,9,Republican,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
K000399,Jennifer A. Kiggans,2,Republican,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
M001227,Jennifer L. McClellan,4,Democrat,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
M001239,John J. McGuire III,5,Republican,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
S000185,"Robert C. ""Bobby"" Scott",3,Democrat,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
S001230,Suhas Subramanyam,10,Democrat,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
V000138,Eugene Simon Vindman,7,Democrat,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
W000804,Robert J. Wittman,1,Republican,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,yea,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
W000831,James R. Walkinshaw,11,Democrat,119,House,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,advance,nay,true,,HUMAN,2026-08-22,https://clerk.house.gov/evs/2025/roll349.xml,,false,
B001292,"Donald S. Beyer, Jr.",8,Democrat,119,House,h-119-1-362,2025-12-18,hr-498-119,HEALTH_COSTS,oppose,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll362.xml,,false,
C001118,Ben Cline,6,Republican,119,House,h-119-1-362,2025-12-18,hr-498-119,HEALTH_COSTS,oppose,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll362.xml,,false,
G000568,H. Morgan Griffith,9,Republican,119,House,h-119-1-362,2025-12-18,hr-498-119,HEALTH_COSTS,oppose,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll362.xml,,false,
K000399,Jennifer A. Kiggans,2,Republican,119,House,h-119-1-362,2025-12-18,hr-498-119,HEALTH_COSTS,oppose,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll362.xml,,false,
M001227,Jennifer L. McClellan,4,Democrat,119,House,h-119-1-362,2025-12-18,hr-498-119,HEALTH_COSTS,oppose,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll362.xml,,false,
M001239,John J. McGuire III,5,Republican,119,House,h-119-1-362,2025-12-18,hr-498-119,HEALTH_COSTS,oppose,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll362.xml,,false,
S000185,"Robert C. ""Bobby"" Scott",3,Democrat,119,House,h-119-1-362,2025-12-18,hr-498-119,HEALTH_COSTS,oppose,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll362.xml,,false,
S001230,Suhas Subramanyam,10,Democrat,119,House,h-119-1-362,2025-12-18,hr-498-119,HEALTH_COSTS,oppose,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll362.xml,,false,
V000138,Eugene Simon Vindman,7,Democrat,119,House,h-119-1-362,2025-12-18,hr-498-119,HEALTH_COSTS,oppose,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll362.xml,,false,
